brand,gender,type,price,rating,title,image_url
ZARA,women,T-shirt,590,4.2,ZARA 經典純棉修身短袖,https://source.unsplash.com/featured/500x500/?ZARA+T-shirt+women+clothing
ZARA,women,Dress,1290,4.5,ZARA 法式優雅浪漫連身裙,https://source.unsplash.com/featured/500x500/?ZARA+Dress+women+clothing
ZARA,men,Jacket,1790,4.4,ZARA 街頭率性丹寧牛仔外套,https://source.unsplash.com/featured/500x500/?ZARA+Jacket+men+clothing
H&M,men,T-shirt,499,4.0,H&M 美式復古學院風短袖,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+men+clothing
H&M,women,Dress,799,4.1,H&M 赫本風極簡純色洋裝,https://source.unsplash.com/featured/500x500/?H%26M+Dress+women+clothing
UNIQLO,men,T-shirt,390,4.3,UNIQLO AIRism 基礎百搭素T,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+men+clothing
UNIQLO,men,Jacket,1490,4.6,UNIQLO 城市極簡機能防風外套,https://source.unsplash.com/featured/500x500/?UNIQLO+Jacket+men+clothing
UNIQLO,women,Jacket,1690,4.5,UNIQLO 英倫風翻領中長版大衣,https://source.unsplash.com/featured/500x500/?UNIQLO+Jacket+women+clothing
GU,women,T-shirt,290,3.9,GU 甜美日常撞色包邊上衣,https://source.unsplash.com/featured/500x500/?GU+T-shirt+women+clothing
GU,women,Dress,690,4.0,GU 氣質純色高腰百褶連身裙,https://source.unsplash.com/featured/500x500/?GU+Dress+women+clothing
GU,men,T-shirt,320,4.1,GU 日系落肩寬鬆純棉短袖,https://source.unsplash.com/featured/500x500/?GU+T-shirt+men+clothing
UNIQLO,women,T-shirt,350,4.4,UNIQLO 舒適透氣輕薄素T,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+women+clothing
UNIQLO,women,Jeans,850,4.5,UNIQLO 高腰彈力修身牛仔褲,https://source.unsplash.com/featured/500x500/?UNIQLO+Jeans+women+clothing
UNIQLO,men,Jeans,890,4.6,UNIQLO 極簡直筒深藍牛仔褲,https://source.unsplash.com/featured/500x500/?UNIQLO+Jeans+men+clothing
